Using MPS device for macOS
Using device: mps
Episode 141/3000 | Total reward: 8.00 | Avg loss: 0.8096 | Epsilon: 0.868 | LOSE | MEMORY_SIZE: 292 | SEED: 597
Episode 142/3000 | Total reward: 8.00 | Avg loss: 0.9749 | Epsilon: 0.868 | LOSE | MEMORY_SIZE: 295 | SEED: 597
Episode 143/3000 | Total reward: 0.00 | Avg loss: 0.8339 | Epsilon: 0.867 | LOSE | MEMORY_SIZE: 296 | SEED: 597
Episode 144/3000 | Total reward: -1.00 | Avg loss: 2.2312 | Epsilon: 0.866 | LOSE | MEMORY_SIZE: 298 | SEED: 597
Episode 145/3000 | Total reward: 0.00 | Avg loss: 3.4338 | Epsilon: 0.865 | LOSE | MEMORY_SIZE: 299 | SEED: 597
Episode 146/3000 | Total reward: 15.00 | Avg loss: 1.2982 | Epsilon: 0.864 | LOSE | MEMORY_SIZE: 305 | SEED: 597
Episode 147/3000 | Total reward: 27.00 | Avg loss: 1.0451 | Epsilon: 0.863 | LOSE | MEMORY_SIZE: 309 | SEED: 597
Episode 148/3000 | Total reward: 8.00 | Avg loss: 1.3516 | Epsilon: 0.862 | LOSE | MEMORY_SIZE: 312 | SEED: 597
Episode 149/3000 | Total reward: 0.00 | Avg loss: 0.3663 | Epsilon: 0.862 | LOSE | MEMORY_SIZE: 313 | SEED: 597
Episode 150/3000 | Total reward: -1.00 | Avg loss: 1.4097 | Epsilon: 0.861 | LOSE | MEMORY_SIZE: 315 | SEED: 597
Episode 151/3000 | Total reward: 17.00 | Avg loss: 1.1837 | Epsilon: 0.860 | LOSE | MEMORY_SIZE: 319 | SEED: 597
Episode 152/3000 | Total reward: 26.00 | Avg loss: 0.8792 | Epsilon: 0.859 | LOSE | MEMORY_SIZE: 324 | SEED: 597
Episode 153/3000 | Total reward: 9.00 | Avg loss: 0.9290 | Epsilon: 0.858 | LOSE | MEMORY_SIZE: 326 | SEED: 597
Episode 154/3000 | Total reward: -1.00 | Avg loss: 1.0613 | Epsilon: 0.857 | LOSE | MEMORY_SIZE: 328 | SEED: 597
Episode 155/3000 | Total reward: 8.00 | Avg loss: 0.7595 | Epsilon: 0.856 | LOSE | MEMORY_SIZE: 331 | SEED: 597
Episode 156/3000 | Total reward: 8.00 | Avg loss: 0.5689 | Epsilon: 0.855 | LOSE | MEMORY_SIZE: 334 | SEED: 597
Episode 157/3000 | Total reward: 9.00 | Avg loss: 2.2344 | Epsilon: 0.855 | LOSE | MEMORY_SIZE: 336 | SEED: 597
Episode 158/3000 | Total reward: 16.00 | Avg loss: 1.0656 | Epsilon: 0.854 | LOSE | MEMORY_SIZE: 341 | SEED: 597
Episode 159/3000 | Total reward: 16.00 | Avg loss: 1.2836 | Epsilon: 0.853 | LOSE | MEMORY_SIZE: 346 | SEED: 597
Episode 160/3000 | Total reward: 4.00 | Avg loss: 1.9451 | Epsilon: 0.852 | LOSE | MEMORY_SIZE: 353 | SEED: 597
Episode 161/3000 | Total reward: -1.00 | Avg loss: 1.3328 | Epsilon: 0.851 | LOSE | MEMORY_SIZE: 355 | SEED: 597
Episode 162/3000 | Total reward: 9.00 | Avg loss: 2.5115 | Epsilon: 0.850 | LOSE | MEMORY_SIZE: 357 | SEED: 597
Episode 163/3000 | Total reward: 9.00 | Avg loss: 0.8505 | Epsilon: 0.850 | LOSE | MEMORY_SIZE: 359 | SEED: 597
