episode,reward,avg_loss,loss_std,reward_std,win,lose,length,max_q,min_q,mean_q,epsilon
235,27.299999999999997,7.2244439125061035,1.973710499250191,0.0,0,1,4,6.7837763,-0.9336302,2.4133635,0.984622
236,0,12.307884216308594,0.0,0.0,0,1,1,6.8839,-0.9821492,2.5767858,0.984556
237,9.1,5.220512866973877,1.1574625968933105,0.0,0,1,2,6.85959,-0.9850795,2.4464903,0.98449
238,9.1,7.336555242538452,0.018761873245239258,0.0,0,1,2,6.8499064,-0.9864549,2.4380434,0.984424
239,7.299999999999999,7.861647963523865,2.7843138581193005,0.0,0,1,4,6.822523,-0.97503924,2.423924,0.984358
240,9.1,8.013339042663574,2.5637006759643555,0.0,0,1,2,6.6959786,-0.9351145,2.3911414,0.984292
241,7.299999999999999,7.160754203796387,1.378908127841017,0.0,0,1,4,6.669446,-0.91890585,2.34582,0.984226
242,9.1,6.711112022399902,0.0784912109375,0.0,0,1,2,6.707289,-0.9064826,2.3951602,0.98416
243,0,6.7896504402160645,0.0,0.0,0,1,1,6.8153887,-0.90885174,2.5459793,0.984094
244,0,6.341930389404297,0.0,0.0,0,1,1,6.867043,-0.909736,2.5620275,0.984028
245,0,7.043996810913086,0.0,0.0,0,1,1,6.9147334,-0.91172785,2.577755,0.983962
246,-0.9,4.5455803871154785,0.2263808250427246,0.0,0,1,2,7.044096,-0.920714,2.6090896,0.983896
247,60.10000000000001,6.708288470904033,1.314571588002211,0.0,0,1,12,7.383438,-0.95356995,2.5648859,0.98383
248,0,4.232603073120117,0.0,0.0,0,1,1,7.3396325,-0.9095632,2.7303963,0.983764
249,15.499999999999998,7.777384360631307,1.6399125993051769,0.0,0,1,6,7.30874,-0.90721786,2.566842,0.983698
250,0,8.094622611999512,0.0,0.0,0,1,1,7.008154,-0.9004521,2.6056612,0.983632
251,25.5,6.642483631769816,1.1909309688883682,0.0,0,1,6,6.954017,-0.9011196,2.369296,0.983566
252,17.3,5.754969000816345,1.8016476681944729,0.0,0,1,4,6.881318,-0.9241881,2.3654504,0.9835
253,0,4.224785327911377,0.0,0.0,0,1,1,6.985615,-0.9457727,2.55028,0.983434
254,9.1,6.216513633728027,0.26048851013183594,0.0,0,1,2,7.0533433,-0.95415795,2.4731095,0.983368
255,17.299999999999997,5.5715619921684265,1.729428010340961,0.0,0,1,4,7.320195,-0.98187387,2.5658507,0.983302
256,0,6.344970703125,0.0,0.0,0,1,1,7.5902042,-0.99753404,2.7649026,0.983236
