episode,reward,avg_loss,loss_std,reward_std,win,lose,length,max_q,min_q,mean_q,epsilon
213,17.0,9.323625802993774,3.800695187739843,0.0,0,1,4,22.22031,0.0693734,10.711452,0.8088788946494789
214,8.0,9.380305290222168,1.009482839954014,0.0,0,1,3,20.53835,0.08460683,10.302858,0.8080700157548294
215,28.0,10.546705356011024,3.679527533963715,0.0,0,1,13,19.58656,-0.014486544,9.658053,0.8072619457390746
216,17.0,8.666785955429077,2.882013540395817,0.0,0,1,4,19.641369,-0.012953073,10.017363,0.8064546837933355
217,18.0,8.562870025634766,1.6650433864595917,0.0,0,1,3,20.307926,0.0077607,10.282737,0.8056482291095421
218,8.0,8.396107037862143,1.5155670281908458,0.0,0,1,3,20.91163,0.030993909,10.56129,0.8048425808804326
219,9.0,7.059176445007324,0.6540746688842773,0.0,0,1,2,21.058279,0.13342257,10.601093,0.8040377382995522
220,0,10.573421478271484,0.0,0.0,0,1,1,21.29847,0.1465706,10.895803,0.8032337005612527
221,0,13.456825256347656,0.0,0.0,0,1,1,21.355228,0.108871624,10.914171,0.8024304668606914
222,6.0,11.99157257080078,4.749832790682459,0.0,0,1,5,21.351416,0.03229105,10.672626,0.8016280363938307
223,6.0,12.09665470123291,2.6541261495277575,0.0,0,1,5,21.057257,0.11756311,10.480095,0.8008264083574369
224,0,8.160396575927734,0.0,0.0,0,1,1,20.607868,0.20018852,10.548872,0.8000255819490795
225,0,15.416727066040039,0.0,0.0,0,1,1,20.512358,0.18315628,10.508348,0.7992255563671304
226,27.0,9.747785329818726,3.2591939130880085,0.0,0,1,4,20.433775,0.09531742,10.141014,0.7984263308107633
227,0,15.39191722869873,0.0,0.0,0,1,1,20.2808,0.08759256,10.428174,0.7976279044799526
228,9.0,11.682333946228027,0.8542604446411133,0.0,0,1,2,20.270245,0.05330112,10.176324,0.7968302765754727
229,9.0,11.636494636535645,0.03654289245605469,0.0,0,1,2,20.148264,0.05760941,10.135233,0.7960334462988972
230,34.0,8.740342821393694,1.6731681612202352,0.0,0,1,7,20.046793,0.04779692,9.862855,0.7952374128525983
231,9.0,10.673052787780762,0.2801933288574219,0.0,0,1,2,20.046387,0.032596048,10.049406,0.7944421754397457
232,9.0,6.9559900760650635,0.8468406200408936,0.0,0,1,2,20.15799,0.030495826,10.068617,0.7936477332643059
233,-1.0,9.555413246154785,0.575800895690918,0.0,0,1,2,20.370014,0.055690236,10.368146,0.7928540855310416
234,9.0,8.099852085113525,1.1152739524841309,0.0,0,1,2,20.377588,0.05422162,10.1546,0.7920612314455105
235,0,9.671550750732422,0.0,0.0,0,1,1,20.486752,0.0195521,10.437063,0.7912691702140651
236,0,15.411458969116211,0.0,0.0,0,1,1,20.560404,-0.020179003,10.467653,0.790477901043851
237,0,6.162707805633545,0.0,0.0,0,1,1,20.65611,-0.03254632,10.510493,0.7896874231428072
238,-1.0,12.204057216644287,4.915125370025635,0.0,0,1,2,20.882168,-0.05501945,10.580923,0.7888977357196644
239,13.0,8.481202006340027,2.1521047923740357,0.0,0,1,8,21.033535,-0.03851333,10.356902,0.7881088379839447
240,-1.0,6.761383056640625,0.37456321716308594,0.0,0,1,2,21.210573,0.017203487,10.70458,0.7873207291459607
241,9.0,10.243971347808838,0.7495455741882324,0.0,0,1,2,21.040264,0.021452405,10.369363,0.7865334084168147
242,0,8.855297088623047,0.0,0.0,0,1,1,20.882566,0.021711823,10.559174,0.7857468750083979
243,15.0,6.801990747451782,2.1166849886691317,0.0,0,1,6,20.801386,-0.02213569,10.344171,0.7849611281333895
244,0,7.728186130523682,0.0,0.0,0,1,1,20.842329,-0.04681432,10.529628,0.784176167005256
